Original URL,Migrated URL,AOE Approval Date,Customer Approval Date,Notes
https://www.onfi.com/,https://main--lundbeck-onfi--aemdemos.aem.page/,2026-07-17T18:08:28-04:00 CH,,
https://www.onfi.com/about-onfi,https://main--lundbeck-onfi--aemdemos.aem.page/about-onfi,2026-07-17T18:08:28-04:00 CH,,
https://www.onfi.com/errorpage/404,https://main--lundbeck-onfi--aemdemos.aem.page/404,2026-07-17T18:08:28-04:00 CH,,
https://www.onfi.com/healthcare-professionals,https://main--lundbeck-onfi--aemdemos.aem.page/healthcare-professionals,2026-07-17T18:08:28-04:00 CH,,
https://www.onfi.com/lennox-gastaut-syndrome,https://main--lundbeck-onfi--aemdemos.aem.page/lennox-gastaut-syndrome,2026-07-17T18:08:28-04:00 CH,,
https://www.onfi.com/site-map,https://main--lundbeck-onfi--aemdemos.aem.page/site-map,2026-07-17T18:08:28-04:00 CH,,
https://www.onfi.com/onfi-savings-resources-and-support,https://main--lundbeck-onfi--aemdemos.aem.page/onfi-savings-resources-and-support,2026-07-17T18:08:28-04:00 CH,,
https://www.onfi.com/search,(merkle),,,
,,,,
,,,,
